t,x,y,z,yaw
1788516090.969687,0.785358,0.914206,0.296073,-0.151273
1788516091.036664,0.784666,0.916050,0.284123,-0.148341
1788516091.103668,0.784496,0.916560,0.274855,-0.143483
1788516091.170676,0.789681,0.914228,0.271532,-0.136964
1788516091.237550,0.797046,0.911235,0.270906,-0.132568
1788516091.304420,0.798055,0.900712,0.256279,-0.127754
1788516091.371567,0.803338,0.895092,0.250009,-0.125951
1788516091.438538,0.813805,0.891154,0.249378,-0.123276
1788516091.505547,0.822869,0.884088,0.246153,-0.118724
1788516091.572834,0.829576,0.876515,0.240231,-0.114737
1788516091.639534,0.834198,0.869815,0.229903,-0.112564
1788516091.706547,0.831382,0.857999,0.212576,-0.109414
1788516091.773399,0.830618,0.851821,0.204814,-0.108566
1788516091.840430,0.834202,0.848158,0.199286,-0.106790
1788516091.907409,0.833006,0.836711,0.188265,-0.100360
1788516091.974275,0.830573,0.815263,0.177170,-0.090526
1788516092.041404,0.822515,0.800718,0.162841,-0.082671
1788516092.108356,0.814788,0.787202,0.148945,-0.074776
1788516092.175396,0.810703,0.777081,0.143900,-0.069134
1788516092.242408,0.808732,0.765710,0.138868,-0.064282
1788516092.309257,0.805800,0.756995,0.133814,-0.061613
1788516092.376271,0.807470,0.756480,0.136235,-0.063194
1788516092.443213,0.813394,0.761241,0.132981,-0.065691
1788516092.510242,0.811705,0.765691,0.125348,-0.068594
1788516092.577255,0.807707,0.774588,0.117365,-0.074053
1788516092.644232,0.796878,0.779574,0.108770,-0.079063
1788516092.712105,0.786369,0.789812,0.096879,-0.087191
1788516092.778479,0.777345,0.803920,0.084048,-0.097543
1788516092.845124,0.760568,0.816569,0.073450,-0.107204
1788516092.912064,0.742194,0.827866,0.061763,-0.115207
1788516092.979002,0.720638,0.837151,0.043666,-0.120886
1788516093.046116,0.711312,0.845997,0.036543,-0.126668
1788516093.113128,0.696639,0.856353,0.028214,-0.130549
1788516093.180146,0.683703,0.865627,0.015853,-0.132733
1788516093.247279,0.670192,0.869537,0.002103,-0.132627
1788516093.314215,0.665974,0.869697,-0.005935,-0.131101
1788516093.380943,0.654171,0.867149,-0.017110,-0.126641
1788516093.447994,0.649554,0.865930,-0.022416,-0.123848
1788516093.514825,0.648579,0.863788,-0.027162,-0.122199
1788516093.582036,0.677769,0.855156,-0.019708,-0.127624
1788516093.648957,0.678141,0.857690,-0.020382,-0.134718
1788516093.716128,0.698868,0.849860,-0.018357,-0.147224
1788516093.784487,0.713173,0.849722,-0.016242,-0.161805
1788516093.849962,0.731402,0.850331,-0.012337,-0.169207
1788516093.916929,0.734472,0.850040,-0.018182,-0.168875
1788516093.984513,0.746451,0.851823,-0.017841,-0.165204
1788516094.050729,0.744052,0.855898,-0.019451,-0.155337
1788516094.117846,0.753629,0.855620,-0.014361,-0.145193
1788516094.184803,0.756993,0.855394,-0.015500,-0.136695
1788516094.251821,0.765428,0.855441,-0.013892,-0.130999
1788516094.318835,0.765729,0.855185,-0.014595,-0.126770
1788516094.385827,0.763429,0.853384,-0.014441,-0.124486
1788516094.452750,0.763115,0.852927,-0.014539,-0.124402
1788516094.519679,0.762726,0.852756,-0.014915,-0.124170
1788516094.588597,0.762738,0.851810,-0.014921,-0.123871
1788516094.653717,0.760924,0.851456,-0.015209,-0.124647
1788516094.720891,0.760751,0.851211,-0.015608,-0.124459
1788516094.787654,0.760441,0.850932,-0.015649,-0.124856
